start_station,start_date,Latitude,Longitude,Neighborhood,3 months before,3 months after,6 months before,6 months after
georgia+ave+&+piney+branch+rd+nw,3/9/2017 9:23,38.96752,-77.02747,Manor Park,,,,
good+hope+&+naylor+rd+se,10/12/2010 16:48,38.86021,-76.96813,Skyland,,,,
good+hope+rd+&+14th+st+se,5/3/2012 16:14,38.86677,-76.98509,Anacostia,,,,
hains+point/buckeye+&+ohio+dr+sw,11/8/2013 18:38,38.87516,-77.03394,East Potomac Park,,,,
harvard+st+&+adams+mill+rd+nw,10/14/2010 8:15,38.92753,-77.04261,Mount Pleasant,,,,
livingston+rd+&+3rd+st+se,9/21/2017 1:14,38.82388,-77.00221,Bellevue,,,,
minnesota+ave+metro/does,9/20/2010 12:14,38.88067,-76.95961,Greenway,,,,
montgomery+college/w+campus+dr+&+mannakee+st,10/19/2013 17:43,38.91865,-77.08998,Berkley,,,,
nannie+helen+burroughs+&+minnesota+ave+ne,10/5/2010 17:58,38.90191,-76.94261,Mahaning Heights,,,,
nannie+helen+burroughs+ave+&+49th+st+ne,11/9/2013 18:03,38.89854,-76.93165,Hillbrook,,,,
new+jersey+ave+&+l+st+nw,8/2/2016 8:42,38.90374,-77.01417,Sursum Corda Cooperative,,,,
new+jersey+ave+&+r+st+nw,5/14/2013 8:01,38.91261,-77.01736,Ledroit Park,,,,
ohio+dr+&+west+basin+dr+sw+/+mlk+&+fdr+memorials,3/16/2012 9:57,38.88377,-77.04638,Lady Bird Johnson Park,,,,
pennsylvania+&+minnesota+ave+se,10/16/2010 17:18,38.8734,-76.97076,Twining,,,,
pleasant+st+&+mlk+ave+se,6/4/2013 11:21,38.86389,-76.99028,Buena Vista,,,,
s+troy+st+&+26th+st+s,4/26/2013 13:39,38.90083,-76.97023,Langston,,,,
tenleytown+/+wisconsin+ave+&+albemarle+st+nw,10/15/2010 20:41,38.94791,-77.07968,Tenleytown,,,,
tysons+one+pl+&+chain+bridge+rd,1/6/2017 8:44,38.92282,-77.10187,Kent,,,,
union+market/6th+st+&+neal+pl+ne,11/20/2014 10:13,38.90862,-76.99805,Gallaudet,,,,
ward+circle+/+american+university,9/30/2010 10:47,38.9379,-77.08544,Wesley Heights,,,,
wisconsin+ave+&+newark+st+nw,1/1/2015 12:04,38.93462,-77.07247,McLean Gardens,,,,
