,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,0,RegionName,start_station
22,624100.0,637200.0,618800.0,638100.0,617100.0,638400.0,613000.0,639000.0,605600.0,641900.0,599800.0,646700.0,597600.0,652000.0,596300.0,656200.0,593000.0,660300.0,588400.0,665200.0,583100.0,669400.0,578000.0,671900.0,631800.0,Capitol Hill,broschart+&+blackwell+rd
23,538800.0,533400.0,541800.0,533700.0,541800.0,528900.0,541600.0,523400.0,542800.0,523800.0,541400.0,524900.0,536900.0,525100.0,535100.0,525300.0,526700.0,526900.0,512600.0,528000.0,505000.0,529400.0,506300.0,530800.0,533500.0,Capitol Hill,c+&+o+canal+&+wisconsin+ave+nw
24,535600.0,544800.0,534300.0,548700.0,533100.0,553100.0,530800.0,556200.0,529400.0,557700.0,528000.0,563200.0,526900.0,571400.0,525300.0,578000.0,525100.0,583100.0,524900.0,588400.0,523800.0,593000.0,523400.0,596300.0,539600.0,Capitol Hill,d+st+&+maryland+ave+ne
25,631800.0,638100.0,624100.0,638400.0,618800.0,639000.0,617100.0,641900.0,613000.0,646700.0,605600.0,652000.0,599800.0,656200.0,597600.0,660300.0,596300.0,665200.0,593000.0,669400.0,588400.0,671900.0,583100.0,672200.0,637200.0,Capitol Hill,deanwood+rec+center
27,538800.0,533400.0,541800.0,533700.0,541800.0,528900.0,541600.0,523400.0,542800.0,523800.0,541400.0,524900.0,536900.0,525100.0,535100.0,525300.0,526700.0,526900.0,512600.0,528000.0,505000.0,529400.0,506300.0,530800.0,533500.0,Capitol Hill,eastern+market+metro+/+pennsylvania+ave+&+7th+st+se
28,538800.0,533400.0,541800.0,533700.0,541800.0,528900.0,541600.0,523400.0,542800.0,523800.0,541400.0,524900.0,536900.0,525100.0,535100.0,525300.0,526700.0,526900.0,512600.0,528000.0,505000.0,529400.0,506300.0,530800.0,533500.0,Capitol Hill,lincoln+park+/+13th+&+east+capitol+st+ne
29,541800.0,533500.0,541800.0,533400.0,541600.0,533700.0,542800.0,528900.0,541400.0,523400.0,536900.0,523800.0,535100.0,524900.0,526700.0,525100.0,512600.0,525300.0,505000.0,526900.0,506300.0,528000.0,505600.0,529400.0,538800.0,Capitol Hill,potomac+&+pennsylvania+ave+se
30,734400.0,735300.0,729700.0,736700.0,725100.0,738800.0,720400.0,739900.0,717400.0,743300.0,718700.0,753500.0,721500.0,763700.0,720400.0,765300.0,717200.0,758800.0,714400.0,750500.0,711500.0,746100.0,706400.0,748000.0,735600.0,Capitol Hill,potomac+&+swann+ave
31,361400.0,372100.0,359400.0,378100.0,358000.0,382800.0,355200.0,387700.0,351300.0,393800.0,347800.0,400700.0,345800.0,407500.0,342100.0,412600.0,335500.0,416400.0,328800.0,421600.0,324500.0,428300.0,322200.0,435100.0,365600.0,Petworth,14th+&+upshur+st+nw
32,310500.0,313100.0,311900.0,317100.0,312400.0,320100.0,313000.0,322200.0,315800.0,324500.0,319100.0,328800.0,323700.0,335500.0,327800.0,342100.0,329700.0,345800.0,330400.0,347800.0,332500.0,351300.0,332300.0,355200.0,310200.0,Petworth,9th+&+upshur+st+nw
33,477400.0,485200.0,476300.0,490900.0,475100.0,496700.0,473300.0,503000.0,473000.0,508400.0,473600.0,511300.0,472300.0,512500.0,468800.0,513400.0,465400.0,514600.0,463600.0,516300.0,462500.0,516600.0,460300.0,516000.0,480300.0,Adams Morgan,18th+st+&+wyoming+ave+nw
34,445500.0,446400.0,447500.0,442500.0,449500.0,438000.0,452200.0,438300.0,455400.0,440000.0,457000.0,439700.0,454300.0,439500.0,450500.0,441500.0,448200.0,442600.0,445000.0,443200.0,439700.0,443500.0,435700.0,444500.0,446300.0,Adams Morgan,36th+&+calvert+st+nw+/+glover+park
35,449500.0,445500.0,452200.0,446300.0,455400.0,446400.0,457000.0,442500.0,454300.0,438000.0,450500.0,438300.0,448200.0,440000.0,445000.0,439700.0,439700.0,439500.0,435700.0,441500.0,435500.0,442600.0,436400.0,443200.0,447500.0,Adams Morgan,adams+mill+&+columbia+rd+nw
36,444500.0,451900.0,443500.0,454800.0,443200.0,456800.0,442600.0,458200.0,441500.0,460300.0,439500.0,462500.0,439700.0,463600.0,440000.0,465400.0,438300.0,468800.0,438000.0,472300.0,442500.0,473600.0,446400.0,473000.0,447800.0,Adams Morgan,california+st+&+florida+ave+nw
37,496700.0,508400.0,490900.0,511300.0,485200.0,512500.0,480300.0,513400.0,477400.0,514600.0,476300.0,516300.0,475100.0,516600.0,473300.0,516000.0,473000.0,517200.0,473600.0,519200.0,472300.0,520800.0,468800.0,521900.0,503000.0,Adams Morgan,calvert+&+biltmore+st+nw
38,449500.0,445500.0,452200.0,446300.0,455400.0,446400.0,457000.0,442500.0,454300.0,438000.0,450500.0,438300.0,448200.0,440000.0,445000.0,439700.0,439700.0,439500.0,435700.0,441500.0,435500.0,442600.0,436400.0,443200.0,447500.0,Adams Morgan,calvert+st+&+woodley+pl+nw
40,440200.0,439200.0,440100.0,442600.0,439900.0,444600.0,438800.0,441700.0,434900.0,437400.0,431400.0,437900.0,429400.0,441200.0,425200.0,443100.0,419300.0,443500.0,416000.0,443500.0,416100.0,443500.0,415700.0,444800.0,439800.0,Logan Circle,14th+&+rhode+island+ave+nw
41,481300.0,485800.0,479800.0,490900.0,476900.0,495100.0,473100.0,499300.0,470200.0,505700.0,468900.0,510500.0,467500.0,512900.0,465500.0,514100.0,461900.0,515500.0,458400.0,517000.0,456800.0,518000.0,457000.0,519400.0,482400.0,Logan Circle,s+oakland+st+&+columbia+pike
42,445400.0,447700.0,444800.0,450800.0,443500.0,453600.0,443500.0,456200.0,443500.0,457000.0,443100.0,456800.0,441200.0,458400.0,437900.0,461900.0,437400.0,465500.0,441700.0,467500.0,444600.0,468900.0,442600.0,470200.0,445600.0,Logan Circle,thomas+circle
43,353000.0,352000.0,351400.0,352200.0,351100.0,352400.0,350900.0,350000.0,349200.0,348100.0,347400.0,349400.0,346800.0,350600.0,344800.0,349700.0,341400.0,348100.0,338800.0,346200.0,338100.0,344100.0,337300.0,343700.0,353600.0,Dupont Circle,17th+&+corcoran+st+nw
44,343900.0,344200.0,343700.0,346200.0,344100.0,347800.0,346200.0,348900.0,348100.0,350900.0,349700.0,353800.0,350600.0,355500.0,349400.0,356300.0,348100.0,357400.0,350000.0,359400.0,352400.0,362400.0,352200.0,365100.0,343600.0,Dupont Circle,17th+&+rhode+island+ave+nw
45,376100.0,380700.0,374600.0,382300.0,372400.0,384000.0,369700.0,388100.0,367400.0,392600.0,365100.0,394200.0,362400.0,393100.0,359400.0,392400.0,357400.0,392500.0,356300.0,392500.0,355500.0,393000.0,353800.0,394200.0,378300.0,Dupont Circle,17th+st+&+massachusetts+ave+nw
46,396000.0,395900.0,396700.0,395800.0,396600.0,394400.0,396000.0,393400.0,395400.0,394900.0,394200.0,397400.0,393000.0,399900.0,392500.0,402400.0,392500.0,404400.0,392400.0,404500.0,393100.0,403800.0,394200.0,403400.0,395500.0,Dupont Circle,18th+&+r+st+nw
47,353600.0,352200.0,353000.0,352400.0,351400.0,350000.0,351100.0,348100.0,350900.0,349400.0,349200.0,350600.0,347400.0,349700.0,346800.0,348100.0,344800.0,346200.0,341400.0,344100.0,338800.0,343700.0,338100.0,343900.0,352000.0,Dupont Circle,19th+&+l+st+nw
48,353800.0,356300.0,350900.0,357400.0,348900.0,359400.0,347800.0,362400.0,346200.0,365100.0,344200.0,367400.0,343600.0,369700.0,343900.0,372400.0,343700.0,374600.0,344100.0,376100.0,346200.0,378300.0,348100.0,380700.0,355500.0,Dupont Circle,20th+&+l+st+nw
49,346200.0,348900.0,344200.0,350900.0,343600.0,353800.0,343900.0,355500.0,343700.0,356300.0,344100.0,357400.0,346200.0,359400.0,348100.0,362400.0,349700.0,365100.0,350600.0,367400.0,349400.0,369700.0,348100.0,372400.0,347800.0,Dupont Circle,20th+&+o+st+nw+/+dupont+south
50,353000.0,352000.0,351400.0,352200.0,351100.0,352400.0,350900.0,350000.0,349200.0,348100.0,347400.0,349400.0,346800.0,350600.0,344800.0,349700.0,341400.0,348100.0,338800.0,346200.0,338100.0,344100.0,337300.0,343700.0,353600.0,Dupont Circle,20th+st+&+florida+ave+nw
51,400200.0,399400.0,400700.0,400000.0,401900.0,400000.0,403300.0,399900.0,403400.0,400700.0,403800.0,401400.0,404500.0,401800.0,404400.0,403600.0,402400.0,409700.0,399900.0,417200.0,397400.0,419400.0,394900.0,414200.0,399700.0,Dupont Circle,22nd+&+p+st+nw
52,403300.0,400700.0,403400.0,400200.0,403800.0,399700.0,404500.0,399400.0,404400.0,400000.0,402400.0,400000.0,399900.0,399900.0,397400.0,400700.0,394900.0,401400.0,393400.0,401800.0,394400.0,403600.0,395800.0,409700.0,401900.0,Dupont Circle,connecticut+ave+&+chevy+chase+lake+dr
