,start_station,start_date
155,47th & elm st,10/20/2013 11:14
157,4th & c st sw,4/1/2017 1:27
158,4th & d st nw / judiciary square,6/25/2011 9:59
159,4th & e st sw,12/1/2011 16:58
160,4th & east capitol st ne,10/29/2010 17:35
161,4th & kennedy st nw,10/1/2016 9:17
162,4th & m st sw,9/20/2010 16:34
163,4th & w st ne,7/1/2014 6:42
164,4th st & madison dr nw,6/14/2016 8:10
166,4th st & mississippi ave se,9/21/2017 1:11
168,5th & f st nw,10/9/2010 11:08
169,5th & k st nw,5/1/2013 0:13
170,5th & kennedy st nw,4/12/2013 16:44
172,5th st & massachusetts ave nw,5/6/2013 10:25
173,61st st & banks pl ne,10/9/2016 12:26
174,6th & h st ne,12/12/2011 9:20
175,6th & k st ne,12/21/2016 18:39
176,6th & s ball st,9/17/2014 19:43
177,6th & water st sw / sw waterfront,1/1/2014 9:33
178,6th st & indiana ave nw,4/3/2013 10:31
179,7th & e st sw,3/24/2017 12:31
181,7th & f st nw/portrait gallery,10/1/2016 0:08
182,7th & r st nw / shaw library,11/29/2011 20:11
183,7th & t st nw,9/20/2010 12:12
185,8th & d st nw,7/23/2013 8:36
186,8th & east capitol st ne,5/14/2013 12:20
187,8th & eye st se / barracks row,9/24/2010 13:11
188,8th & f st ne,5/14/2013 17:27
189,8th & f st nw,7/1/2015 7:24
191,8th & h st nw,10/8/2010 12:21
192,8th & o st nw,7/29/2015 11:20
193,9th & upshur st nw,12/6/2011 23:55
194,adams mill & columbia rd nw,9/20/2010 13:40
195,alabama & mlk ave se,6/4/2013 7:33
196,alabama ave & stanton rd se / shops at park village,9/21/2017 9:30
199,amherst ave & elkins st,2/28/2017 14:34
200,amherst ave & prichard rd,3/2/2017 7:51
201,anacostia ave & benning rd ne / river terrace,12/22/2011 13:45
202,anacostia library,10/24/2010 16:59
203,anacostia metro,9/22/2010 9:36
204,arlington blvd & fillmore st,11/15/2013 16:44
205,arlington blvd & n queen st,9/5/2012 7:00
206,arlington blvd & s george mason dr/nfatc,7/23/2014 15:07
207,army navy dr & s nash st,4/8/2015 12:28
208,aurora hills community ctr/18th & hayes st,11/1/2013 12:07
209,ballenger ave & dulaney st,8/18/2014 16:25
210,ballston metro / n stuart & 9th st n,4/30/2012 16:39
211,barcroft community center,1/1/2017 14:02
212,barton st & 10th st n,9/4/2012 12:04
213,battery ln & trolley trail,10/25/2013 19:36
214,benning branch library,10/12/2010 19:14
215,benning rd & east capitol st ne / benning rd metro,12/22/2011 13:32
217,bethesda ave & arlington rd,10/1/2014 9:05
218,bethesda metro,5/1/2014 8:44
220,bladensburg rd & benning rd ne,10/29/2010 6:54
221,braddock rd metro,8/29/2012 8:43
222,branch & pennsylvania ave se,7/4/2011 11:03
223,broschart & blackwell rd,10/29/2013 15:33
224,c & o canal & wisconsin ave nw,10/18/2010 16:34
225,california st & florida ave nw,12/13/2011 9:51
226,calvert & biltmore st nw,9/1/2013 0:41
227,calvert st & woodley pl nw,9/20/2010 13:30
228,carlin springs rd & n thomas st,12/20/2016 17:48
229,carroll & ethan allen ave,10/30/2013 8:43
230,carroll & westmoreland ave,10/29/2013 12:47
232,central library / n quincy st & 10th st n,2/17/2012 10:58
233,clarendon blvd & n fillmore st,1/1/2012 1:42
234,clarendon blvd & pierce st,4/16/2011 14:01
235,clarendon metro / wilson blvd & n highland st,1/1/2012 11:06
236,columbia & ontario rd nw,4/27/2017 1:55
237,columbia pike & s courthouse rd,3/28/2013 12:42
238,columbia pike & s dinwiddie st / arlington mill community center,8/29/2013 11:25
239,columbia pike & s orme st,7/3/2013 1:33
240,columbia pike & s taylor st,5/10/2017 2:11
241,columbia pike & s walter reed dr,8/27/2013 9:18
242,columbia rd & belmont st nw,11/18/2011 9:15
243,columbia rd & georgia ave nw,12/8/2011 10:24
244,columbus ave & gramercy blvd,5/18/2017 11:38
245,columbus ave & tribeca st,5/13/2017 2:50
246,columbus circle / union station,10/26/2010 11:47
247,commerce st & fayette st,8/31/2012 17:13
248,commonwealth & e monroe ave,6/8/2016 15:00
249,commonwealth ave & oak st,6/7/2016 18:18
250,congress heights metro,12/22/2011 13:34
251,connecticut & nebraska ave nw,5/1/2013 6:32
252,connecticut ave & chevy chase lake dr,1/14/2016 19:59
254,connecticut ave & newark st nw / cleveland park,10/10/2010 11:08
255,connecticut ave & r st nw,6/8/2017 3:03
256,connecticut ave & tilden st nw,12/13/2013 20:22
257,connecticut ave & yuma st nw,4/25/2013 17:28
258,constitution ave & 2nd st nw/dol,7/30/2013 11:22
259,convention center / 7th & m st nw,10/9/2010 15:18
260,cordell & norfolk ave,9/27/2013 13:27
261,corporate blvd & omega dr,8/5/2017 2:20
262,court house metro / 15th & n uhle st,8/28/2014 11:57
264,crabbs branch way & calhoun pl,10/19/2013 11:37
265,crabbs branch way & redland rd,10/18/2013 10:28
266,crystal city metro / 18th & bell st,10/1/2012 0:13
267,d st & maryland ave ne,2/24/2012 9:50
268,deanwood rec center,11/11/2013 10:02
269,dennis & amherst ave,4/3/2017 6:37
270,division ave & foote st ne,8/23/2016 12:01
271,duke st & john carlyle st,8/18/2014 15:38
272,e montgomery ave & maryland ave,9/27/2013 10:19
273,eads & 22nd st s,4/1/2017 1:14
274,eads st & 15th st s,4/1/2016 8:15
275,east falls church metro/sycamore st & 19th st n,6/4/2016 9:11
276,east west hwy & 16th st,4/21/2016 16:44
277,east west hwy & blair mill rd,10/30/2013 17:59
278,eastern market / 7th & north carolina ave se,9/29/2010 18:14
279,eastern market metro / pennsylvania ave & 7th st se,10/6/2010 18:28
280,eckington pl & q st ne,10/14/2010 18:40
281,eisenhower ave & mill race ln,8/18/2014 10:35
283,fairfax dr & kenmore st,4/2/2013 9:52
284,fairfax dr & wilson blvd,4/27/2012 17:22
285,fairfax village,7/27/2011 20:54
287,fallsgrove blvd & fallsgrove dr,9/29/2013 10:45
288,fallsgrove dr & w montgomery ave,5/1/2014 14:06
289,fenton st & ellsworth dr,10/30/2013 18:31
290,fenton st & gist ave,10/31/2013 10:08
291,fenton st & new york ave,9/28/2013 12:33
292,fessenden st & wisconsin ave nw,2/11/2013 9:43
293,fleet st & ritchie pkwy,10/27/2013 14:44
294,florida ave & r st nw,9/24/2010 10:29
295,fort totten metro,2/19/2014 14:31
296,franklin & s washington st,7/21/2016 19:30
297,frederick ave & horners ln,9/27/2013 17:35
298,friendship blvd & willard ave,11/13/2013 17:04
299,friendship hts metro/wisconsin ave & wisconsin cir,9/27/2013 12:02
300,gallaudet / 8th st & florida ave ne,7/11/2012 17:12
301,garland ave & walden rd,11/5/2013 8:00
302,george mason dr & wilson blvd,5/1/2012 10:58
303,georgetown harbor / 30th st nw,10/5/2010 19:20
304,georgia & missouri ave nw,8/25/2015 8:40
305,georgia & new hampshire ave nw,9/17/2010 17:18
306,georgia ave & emerson st nw,4/13/2013 17:27
307,georgia ave & piney branch rd nw,3/9/2017 9:23
308,georgia ave & spring st,10/31/2013 10:42
309,georgia ave and fairmont st nw,9/20/2010 19:14
310,glebe rd & 11th st n,5/17/2012 12:46
311,good hope & naylor rd se,10/12/2010 16:48
312,good hope rd & 14th st se,5/3/2012 16:14
313,good hope rd & mlk ave se,9/20/2010 16:55
314,grandview & blueridge ave,3/3/2017 7:06
315,greensboro & international dr,10/26/2016 13:44
316,hains point/buckeye & ohio dr sw,11/8/2013 18:38
317,hamlin & 7th st ne,8/16/2013 16:39
318,harvard st & adams mill rd nw,10/14/2010 8:15
319,henry bacon dr & lincoln memorial circle nw,6/14/2016 13:29
320,henry st & pendleton st,9/3/2012 8:02
322,independence ave & l'enfant plaza sw/doe,8/6/2013 12:59
323,iwo jima memorial/n meade & 14th st n,6/12/2014 11:45
324,jefferson dr & 14th st sw,3/16/2012 12:31
325,jefferson memorial,5/2/2012 11:20
326,john mccormack dr & michigan ave ne,9/21/2010 14:31
327,jones branch & westbranch dr,10/21/2016 15:50
328,kennebec st & 11th st n,10/1/2016 7:15
329,kennedy center,10/7/2010 12:03
330,key blvd & n quinn st,4/23/2012 11:23
331,key west ave & diamondback dr,9/7/2017 3:42
332,key west ave & great seneca hwy,5/29/2017 10:05
333,key west ave & siesta key way,2/20/2016 12:53
334,king farm blvd & piccard dr,11/6/2013 14:50
335,king farm blvd & pleasant dr,11/1/2013 15:03
336,king st & patrick st,8/31/2012 8:20
338,king st metro north / cameron st,2/18/2016 9:34
339,king st metro south,10/1/2015 0:30
340,l'enfant plaza / 7th & c st sw,10/6/2010 16:26
341,lamont & mt pleasant nw,9/20/2010 20:02
342,lee center,7/22/2016 10:08
343,lee hwy & n adams st,10/1/2015 8:04
344,lee hwy & n cleveland st,7/24/2014 6:37
345,lee hwy & n kirkwood rd,1/17/2015 10:13
346,lee hwy & n monroe st,7/1/2016 14:58
348,lee hwy & n scott st,8/6/2014 12:20
349,lee hwy & n woodstock st,2/19/2016 17:40
350,library st & freedom dr,10/21/2016 4:56
351,lincoln memorial,10/3/2012 9:57
352,lincoln park / 13th & east capitol st ne,10/25/2010 18:24
